大白菜, 1.4, 1.45, 1.5, , 冀, 斤, 2022-10-07 00:00:00
娃娃菜, 1.5, 1.55, 1.6, 大, 冀, 斤, 2022-10-07 00:00:00
小白菜, 1.0, 1.25, 1.5, , 冀, 斤, 2022-10-07 00:00:00
圆白菜, 1.2, 1.35, 1.5, , 冀, 斤, 2022-10-07 00:00:00
紫甘蓝, 1.3, 1.4, 1.5, , 冀, 斤, 2022-10-07 00:00:00
芹菜, 1.0, 1.15, 1.3, , 冀京, 斤, 2022-10-07 00:00:00
西芹, 2.0, 2.1, 2.2, , 冀, 斤, 2022-10-07 00:00:00
菠菜, 2.0, 2.25, 2.5, , 冀蒙, 斤, 2022-10-07 00:00:00
莴笋, 1.7, 2.15, 2.6, , 冀, 斤, 2022-10-07 00:00:00
团生菜, 0.8, 1.0, 1.2, 毛\净, 冀, 斤, 2022-10-07 00:00:00
散叶生菜, 2.0, 2.5, 3.0, 毛\箱, 冀辽, 斤, 2022-10-07 00:00:00
罗马生菜, 2.5, 2.75, 3.0, , 冀云, 斤, 2022-10-07 00:00:00
油菜, 1.0, 1.2, 1.4, 大\小, 鲁京, 斤, 2022-10-07 00:00:00
香菜, 3.0, 3.5, 4.0, , 冀, 斤, 2022-10-07 00:00:00
茴香, 1.5, 1.75, 2.0, , 冀, 斤, 2022-10-07 00:00:00
韭菜, 3.0, 3.5, 4.0, , 冀粤, 斤, 2022-10-07 00:00:00
苦菊, 3.0, 3.15, 3.3, , 冀辽, 斤, 2022-10-07 00:00:00
油麦菜, 4.0, 4.25, 4.5, , 冀, 斤, 2022-10-07 00:00:00
散菜花, 3.0, 3.25, 3.5, , 冀, 斤, 2022-10-07 00:00:00
绿菜花, 2.2, 2.45, 2.7, , 冀, 斤, 2022-10-07 00:00:00
绿豆芽, 0.95, 0.98, 1.0, , , 斤, 2022-10-07 00:00:00
黄豆芽, 0.85, 0.88, 0.9, , , 斤, 2022-10-07 00:00:00
番茄, 1.8, 2.2, 2.6, 黑框, 蒙冀鲁, 斤, 2022-10-07 00:00:00
番茄, 2.5, 3.0, 3.5, 纸箱\泡沫箱, 冀蒙, 斤, 2022-10-07 00:00:00
番茄, 3.3, 3.5, 3.7, 白框, 蒙, 斤, 2022-10-07 00:00:00
黄瓜, 1.0, 1.4, 1.8, 袋\箱, 鲁辽, 斤, 2022-10-07 00:00:00
黄瓜, 2.0, 2.5, 3.0, 鲜干花, 冀, 斤, 2022-10-07 00:00:00
小黄瓜, 3.0, 3.25, 3.5, 旱\荷兰, 辽鲁, 斤, 2022-10-07 00:00:00
茄子, 1.0, 1.6, 2.2, , 冀京鲁, 斤, 2022-10-07 00:00:00
长茄, 0.8, 1.3, 1.8, , 冀晋辽, 斤, 2022-10-07 00:00:00
线茄, 1.0, 1.75, 2.5, 袋\箱, 冀京, 斤, 2022-10-07 00:00:00
广茄, 1.0, 1.5, 2.0, , 冀京, 斤, 2022-10-07 00:00:00
冬瓜, 0.7, 0.8, 0.9, 吊, 冀豫辽, 斤, 2022-10-07 00:00:00
冬瓜, 0.45, 0.5, 0.55, 地, 冀豫, 斤, 2022-10-07 00:00:00
毛冬瓜, 0.6, 0.8, 1.0, 长\小, 冀豫, 斤, 2022-10-07 00:00:00
架豆, 2.5, 4.0, 5.5, , 冀云, 斤, 2022-10-07 00:00:00
豆王, 3.0, 4.5, 6.0, , 辽晋, 斤, 2022-10-07 00:00:00
扁豆, 2.4, 3.45, 4.5, , 冀, 斤, 2022-10-07 00:00:00
豇豆, 3.8, 4.65, 5.5, 湿\干, 云冀, 斤, 2022-10-07 00:00:00
白不老, 3.0, 4.5, 6.0, , 辽鲁, 斤, 2022-10-07 00:00:00
